시도,지역구분,세부차종,제조사,모델명,국비(만원),지방비(만원),보조금(만원)
경기,양주시,전기승용,케이지모빌리티,토레스 EVX 20인치,344,143,487
경기,양주시,전기승용,케이지모빌리티,토레스 EVX 18인치(2026),361,150,511
경기,양주시,전기승용,케이지모빌리티,토레스 EVX 20인치(2026),354,147,501
경기,포천시,전기승용,케이지모빌리티,토레스 EVX 2WD 18인치,327,0,327
경기,포천시,전기승용,케이지모빌리티,토레스 EVX 2WD 20인치,312,0,312
경기,포천시,전기승용,케이지모빌리티,토레스 EVX 18인치,354,0,354
경기,포천시,전기승용,케이지모빌리티,토레스 EVX 20인치,344,0,344
경기,포천시,전기승용,케이지모빌리티,토레스 EVX 18인치(2026),361,0,361
경기,포천시,전기승용,케이지모빌리티,토레스 EVX 20인치(2026),354,0,354
경기,여주시,전기승용,케이지모빌리티,토레스 EVX 2WD 18인치,327,0,327
경기,여주시,전기승용,케이지모빌리티,토레스 EVX 2WD 20인치,312,0,312
경기,여주시,전기승용,케이지모빌리티,토레스 EVX 18인치,354,0,354
경기,여주시,전기승용,케이지모빌리티,토레스 EVX 20인치,344,0,344
경기,여주시,전기승용,케이지모빌리티,토레스 EVX 18인치(2026),361,0,361
경기,여주시,전기승용,케이지모빌리티,토레스 EVX 20인치(2026),354,0,354
경기,연천군,전기승용,케이지모빌리티,토레스 EVX 2WD 18인치,327,310,637
경기,연천군,전기승용,케이지모빌리티,토레스 EVX 2WD 20인치,312,296,608
경기,연천군,전기승용,케이지모빌리티,토레스 EVX 18인치,354,336,690
경기,연천군,전기승용,케이지모빌리티,토레스 EVX 20인치,344,326,670
경기,연천군,전기승용,케이지모빌리티,토레스 EVX 18인치(2026),361,342,703
경기,연천군,전기승용,케이지모빌리티,토레스 EVX 20인치(2026),354,336,690
경기,가평군,전기승용,케이지모빌리티,토레스 EVX 2WD 18인치,327,218,545
경기,가평군,전기승용,케이지모빌리티,토레스 EVX 2WD 20인치,312,208,520
경기,가평군,전기승용,케이지모빌리티,토레스 EVX 18인치,354,236,590
경기,가평군,전기승용,케이지모빌리티,토레스 EVX 20인치,344,229,573
경기,가평군,전기승용,케이지모빌리티,토레스 EVX 18인치(2026),361,240,601
경기,가평군,전기승용,케이지모빌리티,토레스 EVX 20인치(2026),354,236,590
경기,양평군,전기승용,케이지모빌리티,토레스 EVX 2WD 18인치,327,0,327
경기,양평군,전기승용,케이지모빌리티,토레스 EVX 2WD 20인치,312,0,312
경기,양평군,전기승용,케이지모빌리티,토레스 EVX 18인치,354,0,354
경기,양평군,전기승용,케이지모빌리티,토레스 EVX 20인치,344,0,344
경기,양평군,전기승용,케이지모빌리티,토레스 EVX 18인치(2026),361,0,361
경기,양평군,전기승용,케이지모빌리티,토레스 EVX 20인치(2026),354,0,354
충북,충주시,전기승용,케이지모빌리티,토레스 EVX 2WD 18인치,327,327,654
충북,충주시,전기승용,케이지모빌리티,토레스 EVX 2WD 20인치,312,312,624
충북,충주시,전기승용,케이지모빌리티,토레스 EVX 18인치,354,354,708
충북,충주시,전기승용,케이지모빌리티,토레스 EVX 20인치,344,344,688
충북,충주시,전기승용,케이지모빌리티,토레스 EVX 18인치(2026),361,361,722
충북,충주시,전기승용,케이지모빌리티,토레스 EVX 20인치(2026),354,354,708
충북,제천시,전기승용,케이지모빌리티,토레스 EVX 2WD 18인치,327,327,654
충북,제천시,전기승용,케이지모빌리티,토레스 EVX 2WD 20인치,312,312,624
충북,제천시,전기승용,케이지모빌리티,토레스 EVX 18인치,354,354,708
충북,제천시,전기승용,케이지모빌리티,토레스 EVX 20인치,344,344,688
충북,제천시,전기승용,케이지모빌리티,토레스 EVX 18인치(2026),361,361,722
충북,제천시,전기승용,케이지모빌리티,토레스 EVX 20인치(2026),354,354,708
충북,옥천군,전기승용,케이지모빌리티,토레스 EVX 2WD 18인치,327,327,654
충북,옥천군,전기승용,케이지모빌리티,토레스 EVX 2WD 20인치,312,312,624
