시도,지역구분,세부차종,제조사,모델명,국비(만원),지방비(만원),보조금(만원)
서울,서울특별시,전기승용,케이지모빌리티,토레스 EVX 2WD 18인치,327,98,425
서울,서울특별시,전기승용,케이지모빌리티,토레스 EVX 2WD 20인치,312,93,405
서울,서울특별시,전기승용,케이지모빌리티,토레스 EVX 18인치,354,106,460
서울,서울특별시,전기승용,케이지모빌리티,토레스 EVX 20인치,344,103,447
서울,서울특별시,전기승용,케이지모빌리티,토레스 EVX 18인치(2026),361,108,469
서울,서울특별시,전기승용,케이지모빌리티,토레스 EVX 20인치(2026),354,106,460
부산,부산광역시,전기승용,케이지모빌리티,토레스 EVX 2WD 18인치,327,128,455
부산,부산광역시,전기승용,케이지모빌리티,토레스 EVX 2WD 20인치,312,123,435
부산,부산광역시,전기승용,케이지모빌리티,토레스 EVX 18인치,354,136,490
부산,부산광역시,전기승용,케이지모빌리티,토레스 EVX 20인치,344,133,477
부산,부산광역시,전기승용,케이지모빌리티,토레스 EVX 18인치(2026),361,138,499
부산,부산광역시,전기승용,케이지모빌리티,토레스 EVX 20인치(2026),354,136,490
대구,대구광역시,전기승용,케이지모빌리티,토레스 EVX 2WD 18인치,327,98,425
대구,대구광역시,전기승용,케이지모빌리티,토레스 EVX 2WD 20인치,312,93,405
대구,대구광역시,전기승용,케이지모빌리티,토레스 EVX 18인치,354,106,460
대구,대구광역시,전기승용,케이지모빌리티,토레스 EVX 20인치,344,103,447
대구,대구광역시,전기승용,케이지모빌리티,토레스 EVX 18인치(2026),361,108,469
대구,대구광역시,전기승용,케이지모빌리티,토레스 EVX 20인치(2026),354,106,460
인천,인천광역시,전기승용,케이지모빌리티,토레스 EVX 2WD 18인치,327,98,425
인천,인천광역시,전기승용,케이지모빌리티,토레스 EVX 2WD 20인치,312,93,405
인천,인천광역시,전기승용,케이지모빌리티,토레스 EVX 18인치,354,106,460
인천,인천광역시,전기승용,케이지모빌리티,토레스 EVX 20인치,344,103,447
인천,인천광역시,전기승용,케이지모빌리티,토레스 EVX 18인치(2026),361,108,469
인천,인천광역시,전기승용,케이지모빌리티,토레스 EVX 20인치(2026),354,106,460
광주,광주광역시,전기승용,케이지모빌리티,토레스 EVX 2WD 18인치,327,98,425
광주,광주광역시,전기승용,케이지모빌리티,토레스 EVX 2WD 20인치,312,93,405
광주,광주광역시,전기승용,케이지모빌리티,토레스 EVX 18인치,354,106,460
광주,광주광역시,전기승용,케이지모빌리티,토레스 EVX 20인치,344,103,447
광주,광주광역시,전기승용,케이지모빌리티,토레스 EVX 18인치(2026),361,108,469
광주,광주광역시,전기승용,케이지모빌리티,토레스 EVX 20인치(2026),354,106,460
대전,대전광역시,전기승용,케이지모빌리티,토레스 EVX 2WD 18인치,327,98,425
대전,대전광역시,전기승용,케이지모빌리티,토레스 EVX 2WD 20인치,312,93,405
대전,대전광역시,전기승용,케이지모빌리티,토레스 EVX 18인치,354,106,460
대전,대전광역시,전기승용,케이지모빌리티,토레스 EVX 20인치,344,103,447
대전,대전광역시,전기승용,케이지모빌리티,토레스 EVX 18인치(2026),361,108,469
대전,대전광역시,전기승용,케이지모빌리티,토레스 EVX 20인치(2026),354,106,460
울산,울산광역시,전기승용,케이지모빌리티,토레스 EVX 2WD 18인치,327,98,425
울산,울산광역시,전기승용,케이지모빌리티,토레스 EVX 2WD 20인치,312,93,405
울산,울산광역시,전기승용,케이지모빌리티,토레스 EVX 18인치,354,106,460
울산,울산광역시,전기승용,케이지모빌리티,토레스 EVX 20인치,344,103,447
울산,울산광역시,전기승용,케이지모빌리티,토레스 EVX 18인치(2026),361,108,469
울산,울산광역시,전기승용,케이지모빌리티,토레스 EVX 20인치(2026),354,106,460
경기,수원시,전기승용,케이지모빌리티,토레스 EVX 2WD 18인치,327,136,463
경기,수원시,전기승용,케이지모빌리티,토레스 EVX 2WD 20인치,312,130,442
경기,수원시,전기승용,케이지모빌리티,토레스 EVX 18인치,354,147,501
경기,수원시,전기승용,케이지모빌리티,토레스 EVX 20인치,344,143,487
경기,수원시,전기승용,케이지모빌리티,토레스 EVX 18인치(2026),361,150,511
경기,수원시,전기승용,케이지모빌리티,토레스 EVX 20인치(2026),354,147,501
경기,성남시,전기승용,케이지모빌리티,토레스 EVX 2WD 18인치,327,163,490
경기,성남시,전기승용,케이지모빌리티,토레스 EVX 2WD 20인치,312,156,468
경기,성남시,전기승용,케이지모빌리티,토레스 EVX 18인치,354,177,531
경기,성남시,전기승용,케이지모빌리티,토레스 EVX 20인치,344,172,516
경기,성남시,전기승용,케이지모빌리티,토레스 EVX 18인치(2026),361,180,541
경기,성남시,전기승용,케이지모빌리티,토레스 EVX 20인치(2026),354,177,531
경기,의정부시,전기승용,케이지모빌리티,토레스 EVX 2WD 18인치,327,119,446
경기,의정부시,전기승용,케이지모빌리티,토레스 EVX 2WD 20인치,312,114,426
경기,의정부시,전기승용,케이지모빌리티,토레스 EVX 18인치,354,129,483
경기,의정부시,전기승용,케이지모빌리티,토레스 EVX 20인치,344,126,470
경기,의정부시,전기승용,케이지모빌리티,토레스 EVX 18인치(2026),361,132,493
경기,의정부시,전기승용,케이지모빌리티,토레스 EVX 20인치(2026),354,129,483
